celltype	emergence_time	key_TF	times_on_this_list	determined_score	edge	edge_weight	gene_ID	TF_family	avg_logFC_1	pct_1_1	pct_2_1	p_val_adj_1	avg_logFC_2	pct_1_2	pct_2_2	p_val_adj_2
Epiblast	4.5	Aire	1	2.16587409269787	E4.5:Epiblast_E3.5:Inner cell mass	1	ENSMUSG00000000731	SAND	1.17034581760646	0.913	0.011	6.78951703344067e-18	1.15070986528969	0.913	0.159	2.18976537691335e-06
Epiblast	4.5	Tcf15	4	1.89582850810063	E4.5:Epiblast_E3.5:Inner cell mass	1	ENSMUSG00000068079	bHLH	1.18648954898592	1	0.311	2.63607182077994e-10	0.980975103765733	1	0.636	0.000188466095274048
Epiblast	4.5	Zfp534	1	1.3215431814872	E4.5:Epiblast_E3.5:Inner cell mass	1	ENSMUSG00000062518	zf-C2H2	0.964638549866577	0.957	0.878	4.23458355493157e-06	0.875089342802883	0.957	0.841	0.00140235230046491
Epiblast	4.5	Hmga1	2	1.22788464478935	E4.5:Epiblast_E3.5:Inner cell mass	1	ENSMUSG00000046711	HMGA	0.737730126697226	1	0.778	0.000496380640417041	1.04772437923082	1	0.477	1.19142275734311e-06
Epiblast	4.5	Rbpj	3	0.681528525841154	E4.5:Epiblast_E3.5:Inner cell mass	1	ENSMUSG00000039191	CSL	0.603686679203208	1	0.911	0.00169026818114725	0.870302521427811	1	0.75	1.49704259341714e-05
Epiblast	4.5	Grhl2	3	0.562651487828263	E4.5:Epiblast_E3.5:Inner cell mass	1	ENSMUSG00000022286	CP2	0.61565948934952	1	0.511	0.00052813810505674	0.790738266411825	1	0.409	3.26546762861103e-05
Epiblast	4.5	Otx2	9	0.336945406724678	E4.5:Epiblast_E3.5:Inner cell mass	1	ENSMUSG00000021848	TF_Otx	0.594644736595502	0.957	0.189	8.57401674291969e-09	0.683231471296017	0.957	0.068	1.26062517576727e-08
Epiblast	4.5	Lef1	12	0.296440796158304	E4.5:Epiblast_E3.5:Inner cell mass	1	ENSMUSG00000027985	HMG	0.627485099145614	0.913	0	1.00040036754687e-18	0.627485099145614	0.913	0	3.97975767295807e-09
Epiblast	4.5	Hmgb2	2	0.0416743904242762	E4.5:Epiblast_E3.5:Inner cell mass	1	ENSMUSG00000054717	HMG	0.679155851772829	1	1	1.23357894423549e-06	0.431070881523049	1	1	0.0466664994125303
Epiblast	4.5	Zfp423	9	0.0164019796835848	E4.5:Epiblast_E3.5:Inner cell mass	1	ENSMUSG00000045333	zf-C2H2	0.550676277361739	0.913	0.011	2.27677943105913e-17	0.544615105072824	0.913	0.068	4.62189703793276e-07
